1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
6	33.88	6.87	0	4.88	25.35	43.36	47.27	0	0	0	36.96	50	20.95	0	0	37.58	0	28.96	0	41.9	0	30	60	31.84	56	53.66	0	59.68	36.96	0	50	27.49	0	0	0
0	1.09	17.27	16.88	0	13.44	0	45.37	0	0	0	11.48	0	5.24	9.35	0	37.58	0	19.37	0	23.24	0	15	20	0	31	24.39	0	20.1	11.48	0	0	4.9	0	0	0
0	0	1.63	5.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.12	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20.78	0	0	2.72	0	0	0	0	0	0	0	0	0	8.73	9.35	0	24.85	0	19.37	0	5.81	0	15	20	25.67	13	0	0	0	0	30.28	0	16.99	0	0	0
0	0	0	0.67	0	0	0	0	0	0	100	0	0	0	11.67	0	0	0	0	0	2.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2.33	0	5.12	0	0	0	0	0	0	0	0	0	0	0	0	9.88	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	24.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.54	20.37	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.62	100	0	0	2.21	0	0	0	0	0	0	0	0	18.48	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.59	0	0	0	0.63	0	0	0	40	0	0	0	0	6.15	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	4.46	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.17	0	11.81	6.96	6.71	0	0	0	0	0	0	0	0	0	4.68	0	0	0	0	0	4.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.28	1.74	0	0	23.29	1.95	0	0	100	100	0	0	50.01	0	11.72	0	0	30	19.47	4.26	11.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
현대 자동차	기아 자동차	현대 제철	현대 모비스	현대 글로비스	현대 위아	현대 로템	현대 다이모스	현대 머티리얼	서림 개발	지마린 서비스	현대 카드	현대 커머셜	현대 건설	현대 엔지니어링	현대 스틸산업	현대 파워텍	이노션	현대 오토에버	현대 비앤지스틸	해비치 호텔앤드 리조트	현대 종합 특수강	해비치 컨트리 클럽	현대 오트론	현대 엠엔소프트	현대 파텍스	현대 엔지비	부산 파이낸스센터 에이엘씨	현대 캐피탈	현대 카드	현대 라이프 생명보험	현대 커머셜	현대차 투자증권	현대 비영리법인	정몽구	친족