1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
2.34	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	37.9	0.47	0	0	0	40.79	0	0	0	0	0	0	0	0	0	0	0	0	0
33.34	0	33.67	0.05	36.05	34.03	0	24.69	33.53	100	84.95	0	0	0	35	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.58	0	0	0	0
0	0	0	0	0	6.14	0	0	0	0	0	90	0	0	0	0	92.2	0	0	0
0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.26	0	0	0	0	0	51	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	0	0	2.46	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	21.24	0	0	0	0	0	0	0.28	0	0	19.9	0	0	0	0	0	0
0	0	0	11.28	0	0	0	0	0	0	1.12	0	0	0	0	0	0	0	0	0
(주)엘지화학	엘지디스플레이(주)	엘지전자(주)	(주)엘지	(주)엘지유플러스	(주)엘지생활건강	엘지이노텍(주)	(주)엘지상사	(주)엘지하우시스	(주)서브원	(주)엘지씨엔에스	코카콜라음료(주)	(주)팜한농	(주)판토스	(주)지투알	(주)미디어로그	태극제약㈜	엘지 비영리재단	친족	구본무